least_square_fit.java
n=3 max_err=8.293384845513, avg_err=1.3076182329807433, rms_err=2.2966107166357057
n=4 max_err=6.91707232507261, avg_err=1.1832228123230537, rms_err=1.8849272326607847
n=5 max_err=5.933560501824924, avg_err=1.225484404720257, rms_err=1.757333842337858
n=6 max_err=4.596108174544913, avg_err=0.807423899177269, rms_err=1.3543131075184023
n=7 max_err=4.503405875322565, avg_err=0.7893727544874289, rms_err=1.3375963479065531
n=8 max_err=4.541701158726685, avg_err=0.7503490904947249, rms_err=1.3354670533949917
n=9 max_err=3.8155411882913537, avg_err=0.747128752427568, rms_err=1.213040952530191
n=10 max_err=2.857120659226121, avg_err=0.7116622244043347, rms_err=1.0447879705195733
n=11 max_err=2.123592746260405, avg_err=0.5839361543296098, rms_err=0.755890429296156
n=12 max_err=3.4060318228126896, avg_err=0.9804951153369394, rms_err=1.3175538130251843
n=13 max_err=4.842448665100321, avg_err=1.5285711471872632, rms_err=1.9655982228234548
n=14 max_err=1.7673206175268144, avg_err=0.623659942439683, rms_err=0.7611770427523916
n=15 max_err=1.6770823403115402, avg_err=0.32713966200193234, rms_err=0.5455159606996111
n=16 max_err=1.412859141906461, avg_err=0.36439259420981857, rms_err=0.5225151969971619
n=17 max_err=2.0187939028526616, avg_err=0.4182244325158443, rms_err=0.6642969291888136
